fid,place,wikipedia,wikidata,name,present,dimensions,interpreted
"1",village,"sh:Isola, Ravenna",Q18446029,Isola,,,
"2",village,it:Borgo Rivola,Q2311896,Borgo Rivola,,,
"3",village,,Q30024086,Castel Bolognese,,,
"4",village,"sh:Ponticelli, Bologna",Q18438594,Ponticelli,,,
"5",village,sr:Фабрика (Болоња),Q18438310,Fabbrica,,,
"6",village,it:Marina di Ravenna,Q2739139,Marina di Ravenna,,,
"7",village,,,Castel Focognano,,,
"8",village,,,Cavriglia,,,
"9",village,,Q30027236,Marciano della Chiana,,,
"10",village,,,Montemignaio,,,
"12",village,,,Ortignano Raggiolo,,,
"17",village,it:Laterina,Q52082,Laterina,,,
"19",village,it:Pratovecchio,Q52096,Pratovecchio,,,
"20",village,,,Lucignano,,,
"22",village,,,Bucine,,,
"24",village,,,Loro Ciuffenna,,,
"25",village,it:Castelfranco di Sopra,Q52072,Castelfranco di Sopra,,,
"26",village,,,Castiglion Fibocchi,,,
"27",village,it:Pergine Valdarno,Q52092,Pergine Valdarno,,,
"29",village,,Q30027771,Monte San Savino,,,
"30",village,,,Poppi,,,
"31",village,it:Pian di Scò,Q52093,Pian di Scò,,,
"33",village,,,Talla,,,
"35",village,it:Stia,Q52100,Stia,,,
"36",village,it:Tavarnelle Val di Pesa,Q82873,Tavarnelle Val di Pesa,,,
"37",village,it:Gambassi Terme,Q82704,Gambassi Terme,,,
"38",village,,,Firenzuola,,,
"39",village,,,Palazzuolo sul Senio,,,
"40",village,,Q30027949,Montespertoli,true,"1",
"41",village,,,Londa,,,
"42",village,it:San Piero a Sieve,Q82837,San Piero a Sieve,,,
"43",village,,,San Godenzo,,,
"44",village,,,Rignano sull'Arno,,,
"45",village,,Q82647,Dicomano,true,"1",
"46",village,,,Vaglia,,,
"47",village,,,Vicchio,true,"1",
"48",village,it:Barberino Val d'Elsa,Q82615,Barberino Val d'Elsa,true,"2",
"49",village,it:Marradi,Q82759,Marradi,,,
"50",village,it:Montaione,Q82762,Montaione,,,
"51",village,it:Scarperia,Q82846,Scarperia,true,"2",false
"52",village,,,Pelago,,,
"53",village,,,Rufina,,,
"54",village,it:Bibbona,Q157673,Bibbona,,,
"55",village,,,Piazza al Serchio,,,
"56",village,,,San Romano in Garfagnana,,,
"57",village,it:Barga,Q216479,Barga,,,
"58",village,,,Vagli Sotto,,,
"59",village,,,Borgo a Mozzano,,,
"60",village,,Q157871,Rosignano Marittimo,,,
"61",village,,,Pieve Fosciana,,,
"62",village,,,Bagni di Lucca,,,
"63",village,,,Camporgiano,,,
"64",village,,,Careggine,,,
"65",village,,,Castiglione di Garfagnana,,,
"66",village,,,Coreglia Antelminelli,,,
"67",village,,,Minucciano,,,
"68",village,,,Montecarlo,,,
"69",village,,,Pescaglia,,,
"70",village,,,Villa Collemandina,,,
"71",village,,,Villa Basilica,,,
"72",village,,,Bagnone,,,
"73",village,,,Tresana,,,
"74",village,,,Zeri,,,
"75",village,,,Podenzana,,,
"76",village,,,Fosciandora,,,
"77",village,,,Forte dei Marmi,,,
"78",village,it:Fabbriche di Vallico,Q217028,Fabbriche di Vallico,,,
"79",village,it:Castelnuovo di Garfagnana,Q216903,Castelnuovo di Garfagnana,,,
"80",village,it:Sillano,Q182689,Sillano,,,
"81",village,,,Molazzana,,,
"82",village,,,Gallicano,,,
"83",village,,,Villafranca in Lunigiana,,,
"84",village,,,Mulazzo,,,
"85",village,,,Capannoli,,,
"86",village,it:Casciana Terme,Q103044,Casciana Terme,,,
"87",village,,,Bientina,true,"1",
"88",village,it:Fivizzano,,Fivizzano,,,
"89",village,,,Fosdinovo,,,
"90",village,,,Casola in Lunigiana,,,
"91",village,,Q52232,Filattiera,,,
"92",village,,,Licciana Nardi,,,
"93",village,,,Calci,,,
"94",village,,,Buti,true,"1",
"95",village,it:Casale Marittimo,Q103040,Casale Marittimo,,,
"96",village,,,Riparbella,,,
"97",village,,,Santa Luce,,,
"98",village,,,Palaia,,,
"99",village,it:Montescudaio,Q103136,Montescudaio,,,
"100",village,it:Guardistallo,Q103095,Guardistallo,,,
"101",village,,,Castellina Marittima,,,
"102",village,,,Montecatini Val di Cecina,,,
"103",village,it:Lari (Casciana Terme Lari),Q103118,Lari,true,"1",
"104",village,it:Terricciola,Q103279,Terricciola,,,
"105",village,it:Orciano Pisano,Q103170,Orciano Pisano,,,
"106",village,,,Pomarance,,,
"107",village,,,Fauglia,,,
"108",village,it:Lorenzana,Q103121,Lorenzana,,,
"109",village,,,Chianni,,,
"110",village,it:Crespina,Q103085,Crespina,,,
"111",village,,,Lamporecchio,,,
"112",village,it:Abetone,Q102547,Abetone,,,
"113",village,,,Chiesina Uzzanese,,,
"114",village,it:Piteglio,Q102706,Piteglio,,,
"115",village,,,Pieve a Nievole,,,
"116",village,it:Cutigliano,Q102589,Cutigliano,true,"2",
"117",village,it:Santa Lucia (Uzzano),Q2343463,Santa Lucia,,,
"118",village,,,Vicopisano,,,
"119",village,en:Casole d'Elsa,Q91126,Casole d'Elsa,,,
"120",village,,Q30031638,Vernio,,,
"121",village,it:Cantagallo (Italia),Q20382,Cantagallo,,,
"122",village,it:San Marcello Pistoiese,Q102736,San Marcello Pistoiese,,,
"123",village,,,Marliana,,,
"124",village,en:Castelnuovo Berardenga,Q91142,Castelnuovo Berardenga,,,
"125",village,en:Gaiole in Chianti,Q91199,Gaiole in Chianti,,,
"126",village,it:Radicondoli,Q91382,Radicondoli,,,
"127",village,en:Castellina in Chianti,Q91134,Castellina in Chianti,,,
"128",village,en:Radda in Chianti,Q91360,Radda in Chianti,,,
"129",village,en:Rapolano Terme,Q91395,Rapolano Terme,,,
"130",village,it:San Gimignano,Q91413,San Gimignano,,,
"131",village,,,Ameglia,,,
"132",village,,,Beverino Castello,,,
"133",village,,,Ponte di Arcola,,,
"134",village,,,Carrodano,,,
"135",village,,,Sesta Godano,,,
